epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,3641.54,1.25839,0.7448,0.99456,0.87575,0.5964,0.68096,0.38786,1.75468,1.52321,1.74799,0.000669966,0.000669966,0.000669966
127,3671.37,1.26875,0.74339,0.98862,0.83639,0.61538,0.69266,0.38032,1.80901,1.5715,1.76616,0.00061856,0.00061856,0.00061856
128,3700.26,1.2967,0.75761,1.00365,0.84856,0.62308,0.6845,0.38203,1.81543,1.53624,1.77506,0.000569076,0.000569076,0.000569076
129,3730.24,1.28591,0.75515,0.99799,0.86623,0.59615,0.67027,0.37668,1.82505,1.58756,1.76861,0.000521536,0.000521536,0.000521536
130,3759.55,1.26288,0.74586,0.98347,0.82018,0.61923,0.67297,0.37362,1.83269,1.61393,1.76526,0.00047596,0.00047596,0.00047596
131,3792.99,1.24264,0.74685,1.00993,0.89572,0.59468,0.69081,0.38821,1.82353,1.52066,1.77826,0.000432368,0.000432368,0.000432368
132,3821.91,1.22341,0.7183,0.99736,0.81163,0.59615,0.6589,0.37456,1.88028,1.6799,1.81879,0.00039078,0.00039078,0.00039078
133,3851.59,1.21365,0.70349,0.99305,0.85287,0.58077,0.66818,0.37791,1.88719,1.64565,1.82468,0.000351214,0.000351214,0.000351214
134,3880.01,1.21402,0.71044,0.98967,0.89055,0.57308,0.67283,0.38095,1.83065,1.55626,1.7887,0.000313687,0.000313687,0.000313687
135,3909.62,1.18281,0.70715,0.99236,0.86052,0.59324,0.67382,0.38056,1.86237,1.61171,1.79462,0.000278215,0.000278215,0.000278215
136,3937.07,1.20076,0.69272,0.99128,0.86313,0.58212,0.66698,0.3809,1.84049,1.5905,1.78294,0.000244815,0.000244815,0.000244815
137,3966.05,1.20846,0.71153,0.99352,0.86659,0.57462,0.66364,0.37609,1.85633,1.61855,1.79484,0.0002135,0.0002135,0.0002135
138,3995.48,1.2098,0.70547,0.99188,0.89271,0.57601,0.66345,0.37784,1.88639,1.64928,1.82053,0.000184285,0.000184285,0.000184285
